y3_hhid,gardenid,plotid,crop_loss,crop_loss_reason_rain_excess,crop_loss_reason_rain_little,crop_loss_reason_insects,crop_loss_reason_disease,crop_loss_reason_weeds,crop_loss_reason_hail,crop_loss_reason_floods,crop_loss_reason_frost,crop_loss_reason_animals,crop_loss_reason_locust,crop_loss_reason_birds,crop_loss_reason_shortage,crop_loss_reason_fertility,crop_loss_reason_security,crop_loss_reason_spoiled,crop_loss_reason_other,area_loss,area_loss_reason_drought,area_loss_reason_insects,area_loss_reason_animals,area_loss_reason_theft,area_loss_reason_disease,area_loss_reason_labor,area_loss_reason_other,area_loss_reason_rains,area_loss_reason_floods,area_loss_reason_fire,area_loss_reason_not_finished,pure_stand,pure_stand_maize,entire_plot_planted,harvest_completed,planting_month,planting_year,harvesting_month_start,harvesting_month_end,area_planted_with_crop,kgs_harvested,plot_area_ha,first_crop_planted,second_crop_planted,third_crop_planted,fourth_crop_planted,fifth_crop_planted,soil_type,soil_quality,plot_slope,month_planted_plot,half_month_planted_plot,plot_area_gps,area_planted,cultivated,season,crop_cutting,area_harvested,crop_loss_ha,area_harvested_with_crop,plot_elevation,plot_twi,hh_gps_lat,hh_gps_long,annual_temp,annual_precip,ea_id,region,district,ta_code,reside
0001-002,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,1,,6,7,0,0,.7080000000000001,MAIZE,,,,,Clay (Katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1260,12,-9.50446,33.2302,212,1367,10101215,North,Chitipa,1,RURAL
0001-002,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,1,,6,7,0,0,1.516,MAIZE,,,,,Clay (Katondo),Good,Slight slope,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1270,12,-9.50446,33.2302,212,1367,10101215,North,Chitipa,1,RURAL
0001-002,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,2,,5,5,0,0,.092,GROUNDNUT,,,,,Clay (Katondo),Good,Slight slope,FEBRUARY,1ST HALF,1,0,1,Rainy,,,,,1270,12,-9.50446,33.2302,212,1367,10101215,North,Chitipa,1,RURAL
0001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0003-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,0,12,,5.5,7,1.75,0,.3040000000000001,MAIZE,OTHER (SPECIFY),,,,Clay (Katondo),Good,Slight slope,DECEMBER,1ST HALF,1,.53200001,1,Rainy,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0003-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,0,0,12,,8,8,0,0,.188,MAIZE,,,,,Clay (Katondo),Good,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0003-003,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,5,6,0,164.1666564941406,.044,SWEET POTATO,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1340,15,-9.582955,33.311496,207,1325,10101215,North,Chitipa,1,RURAL
0003-003,RG02,R02,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,0,0,1,1,12,,6,6,1.625,184.2599945068359,.392,MAIZE,SUNFLOWER,SOYABEAN,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,.63700002,1,Rainy,,,,,1340,14,-9.582955,33.311496,207,1325,10101215,North,Chitipa,1,RURAL
0003-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0003-003,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,0,1,12,,6,6,0,59.92600250244141,.044,MAIZE,,,,,Clay (Katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1340,13,-9.582955,33.311496,207,1325,10101215,North,Chitipa,1,RURAL
0003-003,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,1,12,,5.5,6,2,0,.044,GROUNDNUT,SUNFLOWER,,,,Clay (Katondo),Fair,Flat,DECEMBER,2ND HALF,1,.088,1,Rainy,,,,,1340,13,-9.582955,33.311496,207,1325,10101215,North,Chitipa,1,RURAL
0004-001,DG01,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,8,,9,12,0,0,,TANAPOSI,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,AUGUST,2ND HALF,0,,1,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0004-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,1,12,,6,6.5,2,72.40000152587891,.7200000000000001,MAIZE,BEANS,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,1.4400001,1,Rainy,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0004-001,TG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0004-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,7,7,0,0,.24,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1280,12,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0005-001,RG02,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,12,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0005-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,1,0,0,12,,6,6,0,0,.048,MAIZE,,,,,Clay (Katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1270,12,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0005-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,0,12,,6,6,2,0,.06,MAIZE,SUNFLOWER,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,.12,1,Rainy,,,,,1280,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0005-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.024,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1270,12,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0005-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0006-001,RG03,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,0,0,12,,6,6,0,0,.112,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0006-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,0,0,1,0,12,,5.5,5.5,2,0,.1,MAIZE,GROUNDNUT,,,,Clay (Katondo),Fair,Flat,DECEMBER,1ST HALF,1,.2,1,Rainy,,,,,1270,12,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0006-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,0,0,1,0,12,,4.5,6,1.5,0,.2,MAIZE,NKHWANI,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,.30000001,1,Rainy,,,,,1270,13,-9.50446,33.2302,212,1374,10101215,North,Chitipa,1,RURAL
0007-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.967245,33.908173,251,1162,10101215,North,Chitipa,1,URBAN
0008-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0008-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,1.04,MAIZE,,,,,Clay (Katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1270,13,-9.50446,33.2302,211,1348,10101215,North,Chitipa,1,RURAL
0008-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,6,6,0,0,.4,MAIZE,,,,,Clay (Katondo),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1270,14,-9.50446,33.2302,211,1348,10101215,North,Chitipa,1,RURAL
0008-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,7,7,0,0,.24,MAIZE,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1260,12,-9.50446,33.2302,211,1348,10101215,North,Chitipa,1,RURAL
0009-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,4,5,0,0,.6400000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1280,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0009-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Dry,,,,,,,,,,,10101215,North,Chitipa,1,RURAL
0009-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,4,5,0,0,.8,MAIZE,,,,,Clay (Katondo),Good,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1260,13,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0009-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,0,12,,4,5,0,0,.108,MAIZE,,,,,Clay (Katondo),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1250,14,-9.50446,33.2302,211,1381,10101215,North,Chitipa,1,RURAL
0010-001,RG02,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,1,,3,5,0,0,.084,TOBACCO,,,,,Clay (Katondo),Good,Moderate slope,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1280,14,-9.50446,33.2302,211,1307,10101215,North,Chitipa,1,RURAL
